"Tipo de empresa"	"Número de Servicios"	"Tiempo"	"Facturado"
"grande"	5	212.49	22894.16
"pyme"	4	138.33	12525.8
"pyme"	7	277.25	22217.7
"pyme"	4	179.27	14212.12
"grande"	6	253.12	27305.75
"pyme"	3	102.7	8058.97
"grande"	5	222.48	24087.32
"pyme"	4	168.43	15512.74
"pyme"	6	183.84	11132.72
"grande"	4	179.13	19594.46
"pyme"	5	201.42	18969.08
"grande"	5	191.83	21377.07
"grande"	2	96	8237.83
"pyme"	4	224.23	18017.88
"pyme"	6	180.55	15395.82
"pyme"	5	171.02	16551.86
"pyme"	2	65.26	6029.94
"pyme"	5	184.8	13497.26
"pyme"	7	230.08	15682.06
"pyme"	5	157.83	12092.93
"grande"	4	153.24	15645.05
"grande"	5	182.29	18140.87
"pyme"	4	127.74	8874.95
"pyme"	5	177.61	16193.62
"pyme"	3	92.11	5027.01
"pyme"	6	215.55	18619.88
"pyme"	3	116.93	7510.84
"pyme"	5	187.88	18082.17
"pyme"	7	219.98	20417.03
"pyme"	6	209.46	14920.14
"grande"	5	182.2	17927.09
"grande"	4	151.04	13828.99
"pyme"	6	207.1	17955.06
"pyme"	3	112.83	11076
"pyme"	3	93.08	9257.69
"grande"	6	246.82	23467.95
"pyme"	6	214.2	17618.2
"grande"	3	148.69	13995.25
"pyme"	6	205.83	14269.14
"grande"	2	155.18	15359.01
"pyme"	4	178.94	13545.59
"pyme"	7	227.43	17679.46
"pyme"	5	195.97	14809.23
"pyme"	3	100.83	9057.41
"grande"	7	270.8	26788.62
"grande"	4	155.96	14361.35
"pyme"	3	127.91	9718.45
"grande"	5	229.56	26555.46
"grande"	3	205.88	20575.39
"pyme"	6	196.35	19898.75
"pyme"	2	74.5	4449.55
"pyme"	4	136.65	12906.59
"grande"	4	154.72	15339.23
"grande"	3	141.41	13188.06
"grande"	5	228.74	23195.08
"pyme"	6	203.55	15813.85
"pyme"	6	196.48	14369.71
"pyme"	4	134.76	10796.38
"pyme"	2	80.95	4172.85
"grande"	5	186.05	20050.35
"pyme"	5	160.74	12267.27
"pyme"	3	107.89	9535.44
"pyme"	7	213.28	17218.84
